ingredients_text,ingredients_tags,ingredients_analysis_tags,additives,additives_tags,additives_en,additives_n,allergens,allergens_en,nova_group,nutriscore_score,nutriscore_grade,serving_size,serving_quantity,energy-kcal_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,fiber_100g,salt_100g,sodium_100g
HONIG stillende Frauen nicht geeignet. D bestrahlung vermeiden und be trocken lagern. X000V0XH07,"es:honig-stillende-frauen-nicht-geeignet,es:d-bestrahlung-vermeiden-und-be-trocken-lagern,es:x000v0xh07","en:palm-oil-content-unknown,en:vegan-status-unknown,en:vegetarian-status-unknown",,,,0.0,,,,4.0,c,25 gram,25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4
"Sojaproteinisolat, Weizen - protein, Kaffee-Extrakt (6 %), Reisprotein, Erbsenprotein - isolat, Kakaopulver stark ent - ölt, Sonnenblumenprotein, Mandelprotein, Aroma, Sü - Bungsmittel (Sucralose).","en:soy-protein-isolate,en:protein,en:plant-protein,en:soy-protein,en:wheat-protein,en:coffee,en:rice-protein,en:pea-protein,de:isolat,de:kakaopulver-stark-ent,de:ölt,en:sunflower-protein,en:almond-protein,en:flavouring,de:sü,de:bungsmittel,en:e955","en:palm-oil-content-unknown,en:vegan-status-unknown,en:vegetarian-status-unknown",,en:e955,E955 - Sucralose,1.0,,,4.0,6.0,c,30 g,30.0,358.0,2.0,0.5,6.7,1.7,76.0,10.714286,1.5,0.6
,,,,,,,,,,,unknown,0g,0.0,,,,,,,,,
,,"en:vegan,en:vegetarian",,,,,,,,-11.0,a,0g,0.0,70.0,0.5,0.06,2.0,0.24,18.0,88.0,0.275,0.11
"Farine de blé 33%, sucre, huile de colza, œufs de poules élevées en plein air 18%, sirop de glucose-fructose, Un stabilisant : glycérol, poudres à lever : carbonates d'ammonium-carbonates de sodium - citrates de sodium (blé), sel, gluten de blé, lait écrémé en poudre, fibres végétales, arôme naturel.","en:wheat-flour,en:cereal,en:flour,en:wheat,en:cereal-flour,en:sugar,en:added-sugar,en:disaccharide,en:colza-oil,en:oil-and-fat,en:vegetable-oil-and-fat,en:rapeseed-oil,en:free-range-chicken-eggs,en:egg,en:chicken-egg,en:free-range-eggs,en:glucose-fructose-syrup,en:monosaccharide,en:fructose,en:glucose,en:stabiliser,en:raising-agent,en:e331,en:salt,en:wheat-gluten,en:gluten,en:skimmed-milk-powder,en:dairy,en:milk-powder,en:vegetable-fiber,en:fiber,en:natural-flavouring,en:flavouring,en:e422,fr:carbonates-d-ammonium-carbonates-de-sodium","en:palm-oil-free,en:non-vegan,en:vegetarian-status-unknown",,"en:e331,en:e422,en:e503","E331 - Sodium citrates,E422 - Glycerol,E503 - Ammonium carbonates",3.0,"en:eggs,en:gluten,en:milk",,4.0,,unknown,"17,6g",17.6,360.0,1.4,,4.5,,83.0,,,
,,,,,,,,,,,unknown,,,,,,,,,,,
,,,,,,,en:milk,,,,not-applicable,1 cup,,,,,,,,,,
"Water, Leptospermum Scoparium Mel (Manuka Honey), Sodium C14-C16 Olefin Sulfonate, Cocamide DIPA ,  Cocamidopropyl Betaine (Coconut Oil), Cocamidopropyl Betaine (Coconut Oil), Glycereth-2 Cocoate, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Malus Domestica Fruit Cell Culture Extract, Phenoxyethanol (and) Ethylhexylglycerin","en:water,en:leptospermum-scoparium-mel,en:sodium-c14-c16-olefin-sulfonate,en:cocamide-dipa,en:cocamidopropyl-betaine,en:glycereth-2-cocoate,en:melaleuca-alternifolia,en:oil,en:oil-and-fat,en:malus-domestica-fruit-cell-culture-extract,en:phenoxyethanol,en:ethylhexylglycerin,en:manuka-honey,en:added-sugar,en:honey,en:coconut-oil,en:vegetable-oil-and-fat,en:vegetable-oil,en:tea-tree","en:may-contain-palm-oil,en:non-vegan,en:vegetarian-status-unknown",,,,0.0,,,,3.0,c,0g,0.0,45.0,13.0,6.7,15.0,3.6,11.0,,0.0625,0.025
"Farine de blé 27%, chocolat au lait 18% (sucre, beurre de cacao, lait entier en poudre, pâte de cacao, émulsifiant : lécithines (soja), arôme naturel de vanille), sucre, huile de colza, œufs de poules élevées en plein air 14.5%, sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d'ammonium - carbonates de sodium - citrates de sodium (blé), sel, gluten de blé, lait écrémé en poudre, fibres végétales, arôme naturel. Peut contenir des traces de fruits à coque.","en:wheat-flour,en:cereal,en:flour,en:wheat,en:cereal-flour,en:milk-chocolate,en:chocolate,en:sugar,en:added-sugar,en:disaccharide,en:colza-oil,en:oil-and-fat,en:vegetable-oil-and-fat,en:rapeseed-oil,en:free-range-chicken-eggs,en:egg,en:chicken-egg,en:free-range-eggs,en:glucose-fructose-syrup,en:monosaccharide,en:fructose,en:glucose,en:stabiliser,en:raising-agent,en:e500,en:e331,en:salt,en:wheat-gluten,en:gluten,en:skimmed-milk-powder,en:dairy,en:milk-powder,en:vegetable-fiber,en:fiber,en:natural-flavouring,en:flavouring,en:cocoa-butter,en:plant,en:cocoa,en:whole-milk-powder,en:cocoa-paste,en:emulsifier,en:natural-vanilla-flavouring,en:vanilla-flavouring,en:e422,en:e503,en:e322,en:soya-lecithin,en:e322i","en:palm-oil-free,en:non-vegan,en:maybe-vegetarian",,"en:e322,en:e322i,en:e331,en:e422,en:e500,en:e503","E322 - Lecithins,E322i - Lecithin,E331 - Sodium citrates,E422 - Glycerol,E500 - Sodium carbonates,E503 - Ammonium carbonates",6.0,,,4.0,20.0,e,"21,6g",21.6,460.0,24.0,6.0,54.0,31.0,6.4,1.4,0.48,0.192
Beef liver,"en:beef-liver,en:animal,en:beef","en:palm-oil-free,en:non-vegan,en:non-vegetarian",,,,0.0,,,1.0,,not-applicable,0g,0.0,,,,,,,,,
"whey protein concentrate, milk protein concentrate, flavoring, thickener (xanthan gum), sweetener (sucralose)","en:whey-protein,en:protein,en:animal-protein,en:milk-proteins,en:milk-protein-concentrate,en:flavouring,en:thickener,en:sweetener,en:e415,en:e955","en:palm-oil-free,en:non-vegan,en:maybe-vegetarian",,"en:e415,en:e955","E415 - Xanthan gum,E955 - Sucralose",2.0,,,4.0,,unknown,2 tortillas (56.699 g),56.699,123.0,1.76,0.882,24.7,0.0,1.76,1.76,0.0882,0.0353
,,,,,,,,,,,unknown,28.0g,28.0,357.14,5.36,,14.29,,71.43,7.14,0.45,0.18
,,,,,,,,,,,unknown,261.0g,261.0,176.6,6.9,3.1,20.69,,7.66,2.07,1.083325,0.43333
